ticker,yf_ticker,side,signal_time,entry_time,exit_time,entry,exit,shares,pnl,equity_after,partial,stop,target,signal_info,interval
KVUE,KVUE,short,2025-10-09 16:07:29+00:00,2025-10-10 04:00:00+00:00,2025-10-16 04:00:00+00:00,16.850000381469727,15.829248368040304,539.4911585517825,546.8676283298975,109299.66079069668,False,19.377500438690184,15.829248368040304,"{'pretrade_score': 1.2000000000000002, 'watchout_hit': False}",1d
MAIN,MAIN,short,2025-10-09 11:31:49+00:00,2025-10-10 04:00:00+00:00,2025-10-21 04:00:00+00:00,57.25,57.959999084472656,159.58319279323123,-117.13555939041275,109182.52523130627,False,65.83749999999999,53.78186638303581,"{'pretrade_score': 1.3, 'watchout_hit': False}",1h
MAIN,MAIN,short,2025-10-14 11:33:18+00:00,2025-10-15 04:00:00+00:00,2025-10-21 04:00:00+00:00,58.4900016784668,57.959999084472656,156.03259361941056,78.8687354446902,109261.39396675095,False,67.26350193023681,54.9467503059361,"{'pretrade_score': 1.3, 'watchout_hit': False}",1h
MFH,MFH,short,2025-10-06 16:35:15+00:00,2025-10-07 04:00:00+00:00,2025-10-07 04:00:00+00:00,35.790000915527344,33.6218872853733,255.18130503766017,549.4313073261097,109810.82527407707,False,41.158501052856444,33.6218872853733,"{'pretrade_score': 1.3, 'watchout_hit': False}",1h
MVST,MVST,long,2025-09-26 11:20:44+00:00,2025-09-29 04:00:00+00:00,2025-10-01 04:00:00+00:00,3.9149999618530273,4.15216577806466,2344.5376968384912,552.2007986252027,110363.02607270227,False,3.3277499675750732,4.15216577806466,"{'pretrade_score': 1.55, 'watchout_hit': False}",1h
NEGG,NEGG,long,2025-10-05 15:48:05+00:00,2025-10-06 04:00:00+00:00,2025-10-06 04:00:00+00:00,48.029998779296875,50.939596218410024,192.06792790104998,554.9842499625263,110918.01032266479,False,40.82549896240234,50.939596218410024,"{'pretrade_score': 1.3, 'watchout_hit': False}",1h
NUAI,NUAI,long,2025-10-17 11:39:47+00:00,2025-10-20 04:00:00+00:00,2025-10-20 04:00:00+00:00,5.199999809265137,5.515009314011333,1782.9639797537698,557.7817317057599,111475.79205437055,False,4.419999837875366,5.515009314011333,"{'pretrade_score': 2.9594313836019532, 'watchout_hit': True}",1d
NUAI,NUAI,long,2025-10-17 19:45:58+00:00,2025-10-20 04:00:00+00:00,2025-10-20 04:00:00+00:00,5.199999809265137,5.515009314011333,1791.930104671653,560.593314577275,112036.38536894783,False,4.419999837875366,5.515009314011333,"{'pretrade_score': 2.7094313836019532, 'watchout_hit': False}",1d
NUAI,NUAI,long,2025-10-06 22:13:43+00:00,2025-10-07 04:00:00+00:00,2025-10-09 04:00:00+00:00,1.7000000476837158,1.802983930901403,5508.761648367428,563.4190696559336,112599.80443860377,False,1.4450000405311585,1.802983930901403,"{'pretrade_score': 1.55, 'watchout_hit': False}",1h
NUKK,NUKK,long,2025-09-25 15:43:09+00:00,2025-09-26 04:00:00+00:00,2025-09-26 04:00:00+00:00,5.699999809265137,6.045298690578706,1651.2263932281064,566.259068378885,113166.06350698265,False,4.844999837875366,6.045298690578706,"{'pretrade_score': 1.6099999999999999, 'watchout_hit': False}",1d
NVDA,NVDA,short,2025-10-11 07:23:12+00:00,2025-10-13 04:00:00+00:00,2025-10-21 04:00:00+00:00,187.97000122070312,181.16000366210938,50.3235756574406,338.7828426502379,113504.84634963289,False,216.16550140380858,176.58301292001633,"{'pretrade_score': 2.7094313836019532, 'watchout_hit': False}",1d
NVTS,NVTS,long,2025-10-14 09:15:29+00:00,2025-10-15 04:00:00+00:00,2025-10-15 04:00:00+00:00,13.119999885559082,13.914793119754254,723.1433562322164,570.821068513365,114075.66741814626,False,11.151999902725219,13.914793119754254,"{'pretrade_score': 1.55, 'watchout_hit': False}",15m
RVSN,RVSN,short,2025-10-07 20:53:48+00:00,2025-10-08 04:00:00+00:00,2025-10-08 04:00:00+00:00,0.7699999809265137,0.7233543421682076,12383.577619332396,573.6983781269753,114649.36579627324,False,0.8854999780654906,0.7233543421682076,"{'pretrade_score': 1.55, 'watchout_hit': False}",1h
SENS,SENS,short,2025-10-06 10:59:55+00:00,2025-10-07 04:00:00+00:00,2025-10-07 04:00:00+00:00,9.65999984741211,9.07480910137405,992.0609700040787,576.5901912532771,115225.95598752651,False,11.108999824523925,9.07480910137405,"{'pretrade_score': 2.6094313836019536, 'watchout_hit': False}",1d
SPY,SPY,long,2025-10-13 16:54:07+00:00,2025-10-14 04:00:00+00:00,2025-10-21 04:00:00+00:00,657.1699829101562,671.2899780273438,14.65603280478874,202.9751393577082,115428.93112688421,False,558.5944854736327,696.9805210724355,"{'pretrade_score': 1.55, 'watchout_hit': False}",1d
TASK,TASK,short,2025-10-09 21:23:57+00:00,2025-10-10 04:00:00+00:00,2025-10-10 04:00:00+00:00,14.430000305175781,13.555848878954235,668.6397023946694,580.5197077759314,116009.45083466015,False,16.594500350952146,13.555848878954235,"{'pretrade_score': 1.2000000000000002, 'watchout_hit': False}",1d
VIVK,VIVK,short,2025-10-16 19:41:27+00:00,2025-10-17 04:00:00+00:00,2025-10-17 04:00:00+00:00,0.2632000148296356,0.24725568610620974,36842.686294,583.4459048422437,116592.8967395024,False,0.30268001705408093,0.24725568610620974,"{'pretrade_score': 1.3, 'watchout_hit': False}",1d
VTYX,VTYX,long,2025-10-08 01:57:25+00:00,2025-10-08 04:00:00+00:00,2025-10-21 04:00:00+00:00,4.0,3.759999990463257,2436.4411607952516,-588.7453204093482,116004.15141909305,False,3.4,4.242315012538982,"{'pretrade_score': 1.4, 'watchout_hit': False}",1d
VTYX,VTYX,long,2025-10-08 06:59:44+00:00,2025-10-09 04:00:00+00:00,2025-10-15 04:00:00+00:00,3.8299999237060547,4.062016543590338,2531.73702471585,583.4191923395005,116587.57061143254,False,3.2554999351501466,4.062016543590338,"{'pretrade_score': 1.5, 'watchout_hit': False}",1d
