gen,best_score,mean_score,median_score,std_score,avg_trades,best_trades,best_cagr,best_sharpe,best_sortino,best_pf,best_maxdd,best_calmar,best_expectancy
0,2.2163505287911236,1.004916862562684,0.805912687022158,0.7700781162049792,39.53333333333333,40,3.0,5.0,5.0,3.5303953809674096,0.018652323495342713,160.8378709895884,632.0751910384724
1,2.2163505287911236,1.6297130438080296,1.984976662222104,0.693371340336222,63.733333333333334,40,3.0,5.0,5.0,3.5303953809674096,0.018652323495342713,160.8378709895884,632.0751910384724
2,2.2906427043091493,1.688223157755703,2.014172536675208,0.6271921853183333,58.3,52,3.0,5.0,5.0,5.6386036364619025,0.02497744209123774,120.10837575127123,924.9120079511175
3,2.469931982112736,1.7889573728876305,2.107994961207228,0.6487531325247208,58.78333333333333,47,3.0,5.0,5.0,10.0,0.017154342013636466,174.88283710416965,1709.690142137279
4,2.469931982112736,1.74049471599881,2.1116429441450664,0.7262881088939354,52.541666666666664,47,3.0,5.0,5.0,10.0,0.017154342013636466,174.88283710416965,1709.690142137279
5,2.469931982112736,1.6640315742169345,2.116049534219627,0.8194058485917525,49.775,47,3.0,5.0,5.0,10.0,0.017154342013636466,174.88283710416965,1709.690142137279
6,2.470781857192046,1.7866852770299713,2.1668418249979036,0.7365221603041883,54.666666666666664,41,3.0,5.0,5.0,10.0,0.006819261033521285,439.9303656588256,1044.3413354588317
7,2.470781857192046,1.7152969525981254,2.1564131180835786,0.8061682088701682,56.56666666666667,41,3.0,5.0,5.0,10.0,0.006819261033521285,439.9303656588256,1044.3413354588317
8,2.4806334646823576,1.7019715633179706,2.119521638429585,0.8120753946666962,52.125,42,3.0,5.0,5.0,10.0,0.002769439105772836,1083.2518374376114,857.358567184723
9,2.4806334646823576,1.6688811790755191,2.1057327796476955,0.8543872742404038,54.95,42,3.0,5.0,5.0,10.0,0.002769439105772836,1083.2518374376114,857.358567184723
10,2.4806334646823576,1.6924529489458777,2.1451257795267327,0.8466716255623631,50.94166666666667,42,3.0,5.0,5.0,10.0,0.002769439105772836,1083.2518374376114,857.358567184723
11,2.4850687581657436,1.5618619384825965,2.0479314762274945,0.8836992612681881,47.4,32,3.0,5.0,5.0,10.0,0.002403413107525496,1248.2248643008932,743.2101960368814
12,2.4850687581657436,1.7715417905501354,2.1562418815144855,0.8067769197600221,53.46666666666667,32,3.0,5.0,5.0,10.0,0.002403413107525496,1248.2248643008932,743.2101960368814
13,2.4888684742885685,1.697102768751157,2.149696073602117,0.8748941415691944,50.2,32,3.0,5.0,5.0,10.0,0.0006995646581899516,4288.381302397662,857.5566802545557
14,2.4894438374889187,1.6777822699194027,2.153910339955507,0.8835740381422701,45.975,32,3.0,5.0,5.0,10.0,0.0007316806581848942,4100.149384079941,735.8978452333073
15,2.4894438374889187,1.6056291070980713,2.099398430769705,0.9015892110377697,38.46666666666667,32,3.0,5.0,5.0,10.0,0.0007316806581848942,4100.149384079941,735.8978452333073
16,2.489481306323108,1.5586946423517611,2.0541521639728417,0.9176936339546851,34.358333333333334,33,3.0,5.0,5.0,10.0,0.0005784121151565734,5186.61335298607,532.9898964009842
17,2.489481306323108,1.6239610071182933,2.154193641570714,0.9363081254652131,31.075,33,3.0,5.0,5.0,10.0,0.0005784121151565734,5186.61335298607,532.9898964009842
18,2.4914433181729567,1.562280478432062,2.1088979028436077,0.9758635921453626,31.5,33,3.0,5.0,5.0,10.0,0.0007358069519786572,4077.156368165189,447.230476598376
19,2.4914433181729567,1.751628570972534,2.1654036496785323,0.8355098526715272,30.566666666666666,33,3.0,5.0,5.0,10.0,0.0007358069519786572,4077.156368165189,447.230476598376
20,2.4914433181729567,1.570315594189669,2.1604870340514655,0.9776681244624649,26.533333333333335,33,3.0,5.0,5.0,10.0,0.0007358069519786572,4077.156368165189,447.230476598376
21,2.492898467515764,1.5517191887387947,2.1574608980523085,1.0009177725758958,24.108333333333334,36,3.0,5.0,5.0,10.0,0.00037093219542939183,8087.731496391663,318.1793495070631
22,2.492898467515764,1.7800733976874237,2.2442054639207587,0.8182124468089033,31.466666666666665,36,3.0,5.0,5.0,10.0,0.00037093219542939183,8087.731496391663,318.1793495070631
23,2.492898467515764,1.6529567995585912,2.0337874414215644,0.9031319545744886,28.408333333333335,36,3.0,5.0,5.0,10.0,0.00037093219542939183,8087.731496391663,318.1793495070631
24,2.492898467515764,1.5643937662745173,1.9893577048693634,0.9226568256307476,26.516666666666666,36,3.0,5.0,5.0,10.0,0.00037093219542939183,8087.731496391663,318.1793495070631
25,2.492898467515764,1.541673267141328,1.9023680089200794,0.9169604881241546,28.566666666666666,36,3.0,5.0,5.0,10.0,0.00037093219542939183,8087.731496391663,318.1793495070631
26,2.4929813763059308,1.6365456073619946,1.9877421413436416,0.8729804847202919,29.641666666666666,31,3.0,5.0,5.0,10.0,0.00031399801665494143,9554.200475402235,333.0920974061418
27,2.493203313853592,1.6783328847388088,2.110988694074355,0.8783682653036756,35.375,33,3.0,5.0,5.0,10.0,0.0004064023151573246,7381.847711272643,323.3234400705528
28,2.493203313853592,1.6201191867361109,2.020255201095206,0.9045270118556992,31.983333333333334,33,3.0,5.0,5.0,10.0,0.0004064023151573246,7381.847711272643,323.3234400705528
29,2.493364251882361,1.564631497353605,1.7554805848323567,0.9229434914424373,29.583333333333332,37,3.0,5.0,5.0,10.0,0.0002899810340196278,10345.50418148016,284.3717174211136
30,2.4935328385988718,1.6078583168578824,1.752086217902821,0.8832845627436946,28.791666666666668,33,3.0,5.0,5.0,10.0,0.00035649299760680855,8415.312559123051,333.06482344147304
31,2.4942343836511256,1.6955185877807395,2.1586483245573644,0.9261645645940779,32.708333333333336,32,3.0,5.0,5.0,10.0,0.0004108475804464279,7301.978015156359,313.527285972053
32,2.4942343836511256,1.5624332959889642,2.0021491447802284,0.9832132180360499,29.016666666666666,32,3.0,5.0,5.0,10.0,0.0004108475804464279,7301.978015156359,313.527285972053
33,2.494585833134776,1.5264639988735218,1.8212990919190868,0.8864733029329818,31.141666666666666,37,3.0,5.0,5.0,10.0,0.0004019323206883967,7463.943170486628,368.83000775973755
34,2.495113592476998,1.4210692115843784,1.5355827702739893,0.9375140081922656,28.6,36,3.0,5.0,5.0,10.0,0.000323079394362121,9285.643257822483,277.136335919515
35,2.495113592476998,1.5814837335279919,1.782076101610389,0.8739419637528364,32.416666666666664,36,3.0,5.0,5.0,10.0,0.000323079394362121,9285.643257822483,277.136335919515
36,2.495113592476998,1.49106722442131,1.7040070866826742,0.9042742656236895,30.183333333333334,36,3.0,5.0,5.0,10.0,0.000323079394362121,9285.643257822483,277.136335919515
37,2.495113592476998,1.563602276088239,1.784925528482482,0.860078359906473,29.55,36,3.0,5.0,5.0,10.0,0.000323079394362121,9285.643257822483,277.136335919515
38,2.4953155721707962,1.6066075798667825,1.8769040763871663,0.8748287370046911,31.075,37,3.0,5.0,5.0,10.0,0.0003203483597692413,9364.80524564262,273.03177091756356
39,2.4953155721707962,1.5249140219284356,1.7813095036343385,0.9004436292082855,33.19166666666667,37,3.0,5.0,5.0,10.0,0.0003203483597692413,9364.80524564262,273.03177091756356
40,2.4953155721707962,1.530870666719878,1.9548203102163975,0.9224549993237032,30.016666666666666,37,3.0,5.0,5.0,10.0,0.0003203483597692413,9364.80524564262,273.03177091756356
41,2.4953155721707962,1.6507826093331337,1.9439779564522235,0.8681412979904718,34.175,37,3.0,5.0,5.0,10.0,0.0003203483597692413,9364.80524564262,273.03177091756356
42,2.4953155721707962,1.6575085410067947,2.060828711434307,0.8944073777896941,37.225,37,3.0,5.0,5.0,10.0,0.0003203483597692413,9364.80524564262,273.03177091756356
43,2.4953155721707962,1.6470834488662354,2.0816017359655037,0.8739853501199988,35.50833333333333,37,3.0,5.0,5.0,10.0,0.0003203483597692413,9364.80524564262,273.03177091756356
44,2.4953155721707962,1.528575882274672,1.9167180478361048,0.9686094846726611,27.366666666666667,37,3.0,5.0,5.0,10.0,0.0003203483597692413,9364.80524564262,273.03177091756356
